clg_name,location,fee,ratings,courses,clg_type,entrance_exam
IIT Madras - Indian Institute of Technology Campus 585,Bengaluru,3.66 L,4.8,11,Govt,JEE Main
NIT Surathkal Campus 586,Coimbatore,10.68 L,4,31,Govt,KCET
BITS Pilani - Birla Institute of Technology Campus 587,Indore,15.78 L,4.8,19,Pvt,KCET
IIT Madras - Indian Institute of Technology Campus 588,Bengaluru,10.08 L,4.6,25,Govt,VITEEE
NIT Surathkal Campus 589,Delhi,17.11 L,3.3,30,Govt,"JEE Main, JEE Advanced"
IIT Delhi - Indian Institute of Technology Campus 590,Hyderabad,3.43 L,4.3,17,Govt,"JEE Main, JEE Advanced"
BITS Pilani - Birla Institute of Technology Campus 591,Bengaluru,6.34 L,3.6,34,Pvt,MHT CET
IIIT Hyderabad Campus 592,Pune,21.59 L,3.5,37,Pvt,"JEE Main, JEE Advanced"
NIT Surathkal Campus 593,Hyderabad,9.17 L,3.8,8,Govt,KCET
IIT Bombay - Indian Institute of Technology Campus 594,Coimbatore,15.89 L,3.4,5,Govt,UPTAC
NIT Trichy Campus 595,Indore,6.76 L,4.1,5,Govt,KCET
IIT Madras - Indian Institute of Technology Campus 596,Pune,6.09 L,4.6,19,Govt,MHT CET
IIT Bombay - Indian Institute of Technology Campus 597,Delhi,12.17 L,3.5,38,Govt,KCET
VIT Vellore Campus 598,Chennai,18.53 L,4.3,24,Pvt,VITEEE
IIT Bombay - Indian Institute of Technology Campus 599,Hyderabad,8.38 L,4.8,31,Govt,VITEEE
IIT Madras - Indian Institute of Technology Campus 600,Hyderabad,20.34 L,3.2,22,Govt,UPTAC
NIT Surathkal Campus 601,Coimbatore,7.22 L,3.4,17,Govt,UPTAC
NIT Trichy Campus 602,Kolkata,5.09 L,4.5,7,Govt,"JEE Main, JEE Advanced"
IIT Madras - Indian Institute of Technology Campus 603,Mumbai,9.44 L,4.7,15,Govt,"JEE Main, JEE Advanced"
BITS Pilani - Birla Institute of Technology Campus 604,Chennai,15.15 L,3.4,29,Pvt,KCET
IIT Delhi - Indian Institute of Technology Campus 605,Hyderabad,5.17 L,4.6,28,Govt,VITEEE
BITS Pilani - Birla Institute of Technology Campus 606,Hyderabad,19.77 L,3.2,34,Pvt,MHT CET
IIT Delhi - Indian Institute of Technology Campus 607,Nagpur,2.59 L,3.3,30,Govt,"JEE Main, JEE Advanced"
NIT Surathkal Campus 608,Hyderabad,19.34 L,3.3,12,Govt,VITEEE
NIT Surathkal Campus 609,Chennai,18.99 L,4.3,24,Govt,MHT CET
BITS Pilani - Birla Institute of Technology Campus 610,Kolkata,16.2 L,4.4,39,Pvt,VITEEE
VIT Vellore Campus 611,Bengaluru,11.98 L,3.1,20,Pvt,JEE Main
IIT Bombay - Indian Institute of Technology Campus 612,Kolkata,9.52 L,3.8,9,Govt,MHT CET
IIT Madras - Indian Institute of Technology Campus 613,Nagpur,4.57 L,4,35,Govt,KCET
VIT Vellore Campus 614,Bengaluru,1.26 L,4.1,29,Pvt,UPTAC
IIT Madras - Indian Institute of Technology Campus 615,Delhi,16.84 L,3.2,37,Govt,JEE Main
IIT Delhi - Indian Institute of Technology Campus 616,Kolkata,9.8 L,4.6,34,Govt,"JEE Main, JEE Advanced"
BITS Pilani - Birla Institute of Technology Campus 617,Mumbai,1.92 L,3.1,26,Pvt,MHT CET
VIT Vellore Campus 618,Hyderabad,2.89 L,3.8,16,Pvt,KCET
IIT Delhi - Indian Institute of Technology Campus 619,Indore,10.62 L,4.1,30,Govt,VITEEE
IIIT Hyderabad Campus 620,Pune,4.45 L,4,37,Pvt,BITSAT
IIT Bombay - Indian Institute of Technology Campus 621,Bengaluru,5.12 L,4.4,27,Govt,VITEEE
IIT Delhi - Indian Institute of Technology Campus 622,Delhi,11.89 L,4.8,36,Govt,MHT CET
IIT Bombay - Indian Institute of Technology Campus 623,Chennai,1.03 L,4.3,26,Govt,JEE Main
IIT Bombay - Indian Institute of Technology Campus 624,Coimbatore,4.95 L,3.3,37,Govt,MHT CET
VIT Vellore Campus 625,Coimbatore,13.98 L,3.2,31,Pvt,"JEE Main, JEE Advanced"
NIT Trichy Campus 626,Hyderabad,18.33 L,3.7,33,Govt,UPTAC
NIT Trichy Campus 627,Hyderabad,19.5 L,3.7,25,Govt,BITSAT
IIIT Hyderabad Campus 628,Coimbatore,0.83 L,4.5,6,Pvt,BITSAT
IIT Bombay - Indian Institute of Technology Campus 629,Chennai,8.98 L,4.6,10,Govt,"JEE Main, JEE Advanced"
NIT Trichy Campus 630,Delhi,2.31 L,4.2,21,Govt,UPTAC
IIT Bombay - Indian Institute of Technology Campus 631,Delhi,14.51 L,3.9,6,Govt,VITEEE
VIT Vellore Campus 632,Kolkata,20.32 L,3.4,36,Pvt,JEE Main
VIT Vellore Campus 633,Chennai,14.79 L,3,5,Pvt,JEE Main
BITS Pilani - Birla Institute of Technology Campus 634,Delhi,20.45 L,4.1,6,Pvt,VITEEE
BITS Pilani - Birla Institute of Technology Campus 635,Kolkata,8.06 L,3.3,29,Pvt,JEE Main
NIT Surathkal Campus 636,Delhi,15.77 L,4.3,16,Govt,JEE Main
VIT Vellore Campus 637,Pune,7.78 L,3.8,19,Pvt,"JEE Main, JEE Advanced"
BITS Pilani - Birla Institute of Technology Campus 638,Mumbai,4.62 L,3.2,24,Pvt,KCET
NIT Trichy Campus 639,Mumbai,12.22 L,4.6,36,Govt,KCET
NIT Trichy Campus 640,Mumbai,2.01 L,3.3,21,Govt,KCET
IIT Bombay - Indian Institute of Technology Campus 641,Indore,2.8 L,4,11,Govt,UPTAC
NIT Trichy Campus 642,Coimbatore,7.84 L,3.2,24,Govt,"JEE Main, JEE Advanced"
VIT Vellore Campus 643,Mumbai,10.39 L,4.5,17,Pvt,"JEE Main, JEE Advanced"
NIT Surathkal Campus 644,Mumbai,19.61 L,3.8,21,Govt,BITSAT
VIT Vellore Campus 645,Kolkata,18.24 L,3.4,7,Pvt,MHT CET
NIT Trichy Campus 646,Nagpur,7.07 L,3.1,29,Govt,KCET
VIT Vellore Campus 647,Hyderabad,17.17 L,4.2,10,Pvt,JEE Main
IIT Bombay - Indian Institute of Technology Campus 648,Nagpur,10.46 L,3.9,21,Govt,"JEE Main, JEE Advanced"
IIT Bombay - Indian Institute of Technology Campus 649,Coimbatore,17.32 L,4.4,27,Govt,VITEEE
NIT Trichy Campus 650,Chennai,6.78 L,4.6,12,Govt,KCET
NIT Trichy Campus 651,Hyderabad,1.78 L,3,31,Govt,VITEEE
IIT Madras - Indian Institute of Technology Campus 652,Pune,11.02 L,4.1,8,Govt,UPTAC
IIT Madras - Indian Institute of Technology Campus 653,Bengaluru,17.07 L,4.3,7,Govt,MHT CET
IIIT Hyderabad Campus 654,Delhi,13.37 L,3.1,22,Pvt,JEE Main
IIT Delhi - Indian Institute of Technology Campus 655,Coimbatore,17.1 L,3.3,26,Govt,BITSAT
NIT Trichy Campus 656,Delhi,13.22 L,4.4,22,Govt,UPTAC
VIT Vellore Campus 657,Bengaluru,12.12 L,4.4,23,Pvt,MHT CET
